TDS (mg/l),Turbidity (NTU),pH,Depth (m),Flow Discharge (L/min),Filter Life Span (hours),Filter Efficiency (%)
187.27,4.487,6.459,1.903,21.447,4394.721,90.079
475.357,8.63,8.446,4.731,9.709,3982.861,87.321
365.997,8.695,6.364,0.974,37.508,4146.319,88.696
299.329,4.707,7.632,1.951,18.038,4446.934,90.701
78.009,9.729,6.033,3.438,50.817,3932.351,86.734
77.997,0.756,7.017,4.997,53.085,4319.041,87.886
29.042,0.034,6.773,2.595,61.207,4579.14,90.189
433.088,3.807,6.955,4.148,60.68,4052.446,86.06
300.558,6.011,7.245,4.621,67.813,3975.927,85.884
354.036,6.292,7.501,0.543,23.815,4456.513,91.215
10.292,4.764,7.459,1.8,73.353,4475.779,90.454
484.955,1.249,7.577,0.952,52.958,4551.682,90.362
416.221,1.705,8.111,3.992,44.293,4329.964,88.368
106.17,8.521,8.217,3.052,65.142,4207.065,88.976
90.912,8.679,7.843,0.93,50.625,4410.649,91.204
91.702,6.739,6.197,2.393,53.041,4191.527,88.407
152.121,6.642,8.403,2.813,3.302,4444.264,91.402
262.378,5.977,8.368,3.64,80.402,4182.028,87.809
215.973,2.029,7.779,4.008,42.993,4381.722,88.996
145.615,4.283,7.294,0.895,52.29,4548.305,91.245
305.926,6.959,6.627,2.694,39.601,4113.101,87.823
69.747,5.373,7.891,1.225,55.602,4551.88,91.575
146.072,0.186,8.195,3.89,6.35,4635.473,91.347
183.181,9.536,7.663,3.46,39.007,4073.963,88.21
228.035,8.448,7.573,3.754,67.199,4011.094,86.973
392.588,2.605,6.483,0.837,93.906,4350.125,88.344
99.837,6.165,6.894,2.796,85.069,4181.517,87.814
257.117,9.232,7.808,4.283,96.319,3869.706,85.504
296.207,0.96,6.042,3.71,78.37,4180.372,86.308
23.225,5.03,7.603,4.378,63.629,4232.144,88.194
303.772,4.562,7.917,1.427,42.904,4483.105,90.771
85.262,4.102,6.837,1.791,13.191,4530.455,91.403
32.526,8.356,6.19,2.486,25.829,4184.75,89.096
474.443,3.806,8.048,2.855,27.846,4336.077,89.224
482.816,0.637,6.355,1.635,43.36,4412.025,88.878
404.199,0.658,6.927,2.216,61.374,4413.377,88.718
152.307,0.427,7.768,3.592,62.248,4495.624,89.462
48.836,4.091,8.042,3.404,46.099,4442.637,90.193
342.117,7.184,8.156,0.997,28.19,4429.242,91.166
220.076,2.037,7.326,4.936,6.593,4313.953,88.685
61.019,6.465,7.19,3.032,98.895,4164.199,87.592
247.588,6.871,8.121,2.676,94.016,4189.105,88.012
17.194,2.552,7.408,4.853,19.11,4381.091,89.385
454.66,6.006,7.447,1.131,60.934,4282.037,89.013
129.39,6.849,7.085,2.947,30.27,4246.172,89.214
331.261,4.666,6.932,4.123,20.248,4141.484,87.612
155.856,3.367,7.201,2.295,68.757,4406.829,89.391
260.034,6.192,6.912,3.813,78.833,4012.616,86.195
273.355,9.778,6.859,4.546,41.253,3823.157,85.753
92.427,4.268,8.484,1.677,6.847,4707.343,93.285
484.792,3.917,6.841,1.587,40.748,4305.636,88.824
387.566,4.643,6.641,2.123,53.687,4218.496,88.041
469.749,0.762,6.885,2.383,89.428,4298.342,87.318
447.414,5.532,7.477,1.0,66.023,4315.39,89.153
298.95,3.287,8.277,1.541,71.339,4517.166,90.444
460.937,1.214,7.97,4.43,21.06,4320.713,88.361
44.246,4.663,8.106,3.05,72.307,4405.729,89.733
97.991,0.034,8.148,1.705,50.681,4792.184,92.425
22.614,4.018,8.301,4.746,82.221,4278.874,88.172
162.665,1.057,6.588,3.984,22.421,4381.286,88.906
194.339,0.243,7.146,2.131,51.971,4588.239,90.436
135.675,8.245,6.963,3.944,21.738,4078.299,88.039
414.369,9.162,6.955,3.182,29.306,3953.325,86.989
178.377,2.077,7.631,3.577,83.388,4345.551,88.245
140.467,5.393,7.005,1.947,69.092,4327.733,89.204
271.348,2.78,7.541,1.443,73.12,4488.916,89.992
70.462,4.936,6.956,1.641,7.785,4533.868,91.742
401.098,4.366,6.778,0.877,73.147,4324.943,88.828
37.275,2.691,6.883,2.62,49.649,4473.841,90.049
493.443,7.004,8.009,2.328,46.455,4178.305,88.42
386.122,1.265,7.503,0.511,41.85,4659.113,91.552
99.358,0.531,8.435,4.354,85.328,4461.264,88.919
2.761,7.677,8.082,3.568,18.569,4328.967,90.407
407.731,6.659,7.214,2.51,81.597,4070.387,86.886
353.429,4.985,6.606,4.852,92.904,3863.649,84.203
364.504,4.678,7.685,4.732,17.656,4143.776,87.665
385.635,4.974,7.817,0.928,99.96,4347.425,88.967
37.022,4.37,7.16,3.268,99.063,4254.082,87.861
179.233,3.929,6.575,4.177,62.511,4128.737,86.841
57.935,4.997,7.393,1.278,27.585,4577.499,91.998
431.552,5.285,6.635,1.076,43.533,4288.775,89.038
311.649,6.919,8.35,1.669,17.868,4430.588,91.203
165.449,7.112,7.572,1.759,12.9,4417.241,91.177
31.779,3.776,6.73,4.842,70.699,4142.638,86.852
155.491,4.135,6.539,4.012,58.405,4151.393,87.17
162.592,3.737,7.792,0.769,56.794,4620.567,91.759
364.803,5.365,7.769,4.039,25.528,4171.306,88.067
318.779,4.534,7.493,1.263,24.256,4488.368,91.001
443.606,8.896,7.536,2.108,98.984,3978.248,86.461
236.107,6.964,7.51,1.933,63.249,4264.902,89.106
59.797,8.987,6.9,1.726,82.126,4173.975,88.614
356.622,7.091,8.344,1.889,38.473,4335.587,90.099
380.393,9.71,7.198,3.894,84.524,3785.688,84.925
280.639,6.357,6.051,1.699,72.516,4131.914,87.501
385.484,9.636,6.871,4.103,35.662,3830.923,85.843
246.898,1.582,6.326,0.91,72.052,4494.976,89.704
261.366,0.525,6.908,3.178,92.637,4330.824,87.539
213.771,5.791,7.521,4.384,22.159,4172.949,88.245
12.71,9.835,6.057,0.857,55.216,4211.45,89.513
53.946,4.176,8.176,3.357,96.698,4352.678,88.813
15.715,2.12,7.526,2.802,82.318,4493.834,89.751
318.205,5.215,6.738,1.994,62.409,4229.778,88.238
157.178,6.488,6.778,0.953,7.907,4463.696,91.504
254.285,3.152,7.164,3.544,41.226,4294.815,88.481
453.783,7.148,6.62,1.892,65.426,4057.675,87.067
124.646,9.751,6.011,2.025,41.557,4065.579,88.166
205.191,8.97,6.066,3.729,99.711,3783.223,84.526
377.776,2.916,6.894,4.754,75.586,4028.174,85.401
114.399,3.267,6.311,2.001,19.521,4471.315,90.498
38.49,3.715,6.056,3.86,49.548,4215.449,87.774
144.876,3.946,8.148,4.805,39.013,4286.603,88.66
80.611,1.003,6.685,0.94,59.79,4664.466,91.348
464.849,7.62,7.258,2.881,45.21,4033.814,87.172
404.06,3.653,6.449,0.55,24.552,4456.024,90.411
316.702,8.798,6.117,4.213,72.713,3746.665,84.379
435.73,9.269,7.862,1.791,11.559,4202.661,89.692
401.836,0.244,6.312,1.997,53.681,4410.998,88.646
93.285,9.885,6.064,3.593,31.706,3942.844,87.077
446.279,7.1,7.468,4.051,96.687,3870.152,84.865
269.671,5.204,6.034,2.3,31.053,4216.234,88.413
403.72,3.895,7.091,3.495,34.753,4193.457,87.756
448.046,5.185,6.722,4.804,71.002,3866.564,84.511
159.002,3.246,6.799,4.491,13.719,4261.497,88.452
55.026,6.227,6.01,3.656,33.138,4130.26,87.839
113.968,0.93,8.411,4.744,69.896,4423.443,88.814
213.554,6.211,7.292,4.442,4.045,4159.641,88.419
409.007,2.753,7.431,3.781,31.789,4259.32,88.101
